,name,levelLearned,move,type,category,power,accuracy
0,Bulbasaur,1,Growl,Normal,Status,—,100
1,Bulbasaur,1,Tackle,Normal,Physical,40,100
2,Bulbasaur,3,Vine Whip,Grass,Physical,45,100
3,Bulbasaur,6,Growth,Normal,Status,—,—
4,Bulbasaur,9,Leech Seed,Grass,Status,—,90
5,Bulbasaur,12,Razor Leaf,Grass,Physical,55,95
6,Bulbasaur,15,Poison Powder,Poison,Status,—,75
7,Bulbasaur,15,Sleep Powder,Grass,Status,—,75
8,Bulbasaur,18,Seed Bomb,Grass,Physical,80,100
9,Bulbasaur,21,Take Down,Normal,Physical,90,85
10,Bulbasaur,24,Sweet Scent,Normal,Status,—,100
11,Bulbasaur,27,Synthesis,Grass,Status,—,—
12,Bulbasaur,30,Worry Seed,Grass,Status,—,100
13,Bulbasaur,33,Power Whip,Grass,Physical,120,85
14,Bulbasaur,36,Solar Beam,Grass,Special,120,100
15,Ivysaur,1,Growl,Normal,Status,—,100
16,Ivysaur,1,Growth,Normal,Status,—,—
17,Ivysaur,1,Tackle,Normal,Physical,40,100
18,Ivysaur,1,Vine Whip,Grass,Physical,45,100
19,Ivysaur,9,Leech Seed,Grass,Status,—,90
20,Ivysaur,12,Razor Leaf,Grass,Physical,55,95
21,Ivysaur,15,Poison Powder,Poison,Status,—,75
22,Ivysaur,15,Sleep Powder,Grass,Status,—,75
23,Ivysaur,20,Seed Bomb,Grass,Physical,80,100
24,Ivysaur,25,Take Down,Normal,Physical,90,85
25,Ivysaur,30,Sweet Scent,Normal,Status,—,100
26,Ivysaur,35,Synthesis,Grass,Status,—,—
27,Ivysaur,40,Worry Seed,Grass,Status,—,100
28,Ivysaur,45,Power Whip,Grass,Physical,120,85
29,Ivysaur,50,Solar Beam,Grass,Special,120,100
30,Venusaur,1,Growl,Normal,Status,—,100
31,Venusaur,1,Growth,Normal,Status,—,—
32,Venusaur,1,Petal Dance,Grass,Special,120,100
33,Venusaur,1,Tackle,Normal,Physical,40,100
34,Venusaur,1,Vine Whip,Grass,Physical,45,100
35,Venusaur,9,Leech Seed,Grass,Status,—,90
36,Venusaur,12,Razor Leaf,Grass,Physical,55,95
37,Venusaur,15,Poison Powder,Poison,Status,—,75
38,Venusaur,15,Sleep Powder,Grass,Status,—,75
39,Venusaur,20,Seed Bomb,Grass,Physical,80,100
40,Venusaur,25,Take Down,Normal,Physical,90,85
41,Venusaur,30,Sweet Scent,Normal,Status,—,100
42,Venusaur,37,Synthesis,Grass,Status,—,—
43,Venusaur,44,Worry Seed,Grass,Status,—,100
44,Venusaur,51,Power Whip,Grass,Physical,120,85
